X,Y,Z,Timestamp
-0.415132,-0.780015,-0.409405,1489692117651
-0.457671,-0.478581,0.051512,1489692117847
0.174261,-0.496602,0.413348,1489692118044
-0.745661,-0.370849,-0.384801,1489692118242
-1.431227,-0.446816,0.295201,1489692118447
-1.276603,0.159189,-0.076666,1489692118637
-1.153300,0.324282,-0.149817,1489692118835
-0.282140,0.199353,0.507686,1489692119032
0.362417,0.326113,-0.354605,1489692119233
-0.647075,0.196819,-0.510320,1489692119432
-0.289645,0.011302,0.783843,1489692119625
0.039727,-0.353262,-0.277300,1489692119823
-0.246707,-0.505935,-0.319269,1489692120021
-0.525890,0.022581,0.069591,1489692120218
1.007330,0.307013,0.426128,1489692120416
0.284542,-0.474403,-0.430862,1489692120614
-0.107676,-0.243613,-0.196257,1489692120811
0.377297,0.212158,0.423397,1489692121016
0.474651,-0.183957,-0.008530,1489692121206
-0.107521,-1.095573,0.177428,1489692121406
-0.795234,-0.451191,-0.000231,1489692121601
-0.520117,-0.336558,-0.171155,1489692121804
-0.975166,-0.652100,-0.155018,1489692121997
0.200908,0.656635,0.368544,1489692122194
-0.711874,0.293320,-0.647626,1489692122392
-1.282928,-0.069508,0.095045,1489692122589
0.880029,0.523567,1.120437,1489692122787
0.019149,0.125593,-1.155642,1489692122985
-0.246829,-0.361425,-0.035787,1489692123183
-0.248684,0.120225,1.043046,1489692123380
0.151482,0.807766,-0.381083,1489692123578
0.267623,0.329119,-0.326899,1489692123775
0.097903,0.737240,0.539914,1489692123975
0.788254,-0.020700,-0.448583,1489692124170
0.849093,-0.014851,0.065503,1489692124368
1.311292,-0.339665,-0.263920,1489692124566
-0.463172,-0.459556,0.220206,1489692124763
-0.705610,-0.816029,0.178001,1489692124961
-1.549240,0.409078,0.395918,1489692125158
-0.938972,-0.166289,-0.815452,1489692125356
-0.616003,-0.615603,-0.164046,1489692125554
0.268504,-0.238071,0.834141,1489692125751
-0.161417,0.257360,-0.456995,1489692125956
0.337059,-0.751466,-0.557287,1489692126146
