PosX,PosY,RSSI,Name,Timestamp
11.724593,5.658967,-83,egopi2,1488829746704
11.724593,5.658967,-69,egopi3,1488829746729
11.724593,5.658967,-79,egopi2,1488829746848
11.724593,5.658967,-75,egopi3,1488829746864
11.724593,5.658967,-91,egopi1,1488829746880
11.724593,5.658967,-88,egopi2,1488829746959
11.724593,5.658967,-68,egopi3,1488829746984
11.724593,5.658967,-81,egopi1,1488829746994
11.724593,5.658967,-66,egopi3,1488829747110
11.724593,5.658967,-78,egopi1,1488829747129
11.724593,5.658967,-78,egopi2,1488829747215
11.724593,5.658967,-69,egopi3,1488829747236
11.724593,5.658967,-77,egopi1,1488829747246
11.724593,5.658967,-83,egopi2,1488829747340
11.724593,5.658967,-72,egopi3,1488829747361
11.724593,5.658967,-76,egopi1,1488829747381
11.724593,5.658967,-84,egopi2,1488829747466
11.724593,5.658967,-64,egopi3,1488829747494
11.724593,5.658967,-81,egopi1,1488829747497
11.724593,5.658967,-79,egopi2,1488829747590
11.724593,5.658967,-72,egopi3,1488829747623
11.724593,5.658967,-82,egopi1,1488829747626
11.724593,5.658967,-76,egopi2,1488829747717
11.724593,5.658967,-69,egopi3,1488829747750
11.724593,5.658967,-74,egopi1,1488829747753
11.724593,5.658967,-77,egopi2,1488829747842
11.724593,5.658967,-68,egopi3,1488829747872
11.724593,5.658967,-77,egopi1,1488829747885
11.724593,5.658967,-79,egopi2,1488829747968
11.724593,5.658967,-73,egopi3,1488829747999
11.724593,5.658967,-76,egopi1,1488829748019
11.724593,5.658967,-101,null,1488829748023
11.724593,5.658967,-82,egopi2,1488829748095
11.724593,5.658967,-77,egopi3,1488829748127
11.724593,5.658967,-78,egopi1,1488829748141
11.724593,5.658967,-75,egopi3,1488829748252
11.724593,5.658967,-71,egopi1,1488829748259
11.724593,5.658967,-75,egopi2,1488829748350
11.724593,5.658967,-64,egopi3,1488829748376
11.724593,5.658967,-78,egopi1,1488829748390
11.724593,5.658967,-61,egopi3,1488829748504
11.724593,5.658967,-70,egopi1,1488829748527
11.724593,5.658967,-77,egopi2,1488829748603
11.724593,5.658967,-62,egopi3,1488829748632
11.724593,5.658967,-74,egopi1,1488829748642
11.724593,5.658967,-72,egopi2,1488829748729
11.724593,5.658967,-66,egopi3,1488829748757
11.724593,5.658967,-73,egopi1,1488829748776
11.724593,5.658967,-70,egopi2,1488829748854
11.724593,5.658967,-65,egopi3,1488829748885
11.724593,5.658967,-74,egopi1,1488829748894
11.724593,5.658967,-77,egopi2,1488829748983
11.724593,5.658967,-64,egopi3,1488829749011
11.724593,5.658967,-76,egopi1,1488829749028
11.724593,5.658967,-79,egopi2,1488829749110
11.724593,5.658967,-72,egopi3,1488829749140
11.724593,5.658967,-83,egopi1,1488829749152
11.724593,5.658967,-76,egopi2,1488829749238
11.724593,5.658967,-67,egopi3,1488829749269
11.724593,5.658967,-77,egopi1,1488829749280
11.724593,5.658967,-76,egopi2,1488829749365
11.724593,5.658967,-80,egopi3,1488829749394
11.724593,5.658967,-74,egopi1,1488829749414
11.724593,5.658967,-78,egopi2,1488829749492
11.724593,5.658967,-64,egopi3,1488829749523
11.724593,5.658967,-74,egopi2,1488829749620
11.724593,5.658967,-89,egopi3,1488829749652
11.724593,5.658967,-77,egopi1,1488829749666
11.724593,5.658967,-61,egopi3,1488829749781
11.724593,5.658967,-81,egopi1,1488829749787
11.724593,5.658967,-82,egopi2,1488829749872
11.724593,5.658967,-77,egopi3,1488829749909
11.724593,5.658967,-83,egopi1,1488829749919
11.724593,5.658967,-77,egopi2,1488829750000
11.724593,5.658967,-62,egopi3,1488829750035
11.724593,5.658967,-82,egopi1,1488829750053
11.724593,5.658967,-79,egopi2,1488829750129
11.724593,5.658967,-67,egopi3,1488829750162
11.724593,5.658967,-81,egopi1,1488829750173
11.724593,5.658967,-77,egopi2,1488829750271
11.724593,5.658967,-70,egopi3,1488829750295
11.724593,5.658967,-73,egopi1,1488829750298
11.724593,5.658967,-68,egopi3,1488829750415
11.724593,5.658967,-81,egopi1,1488829750423
11.724593,5.658967,-83,egopi2,1488829750509
11.724593,5.658967,-72,egopi3,1488829750541
11.724593,5.658967,-82,egopi1,1488829750557
11.724593,5.658967,-80,egopi2,1488829750636
11.724593,5.658967,-80,egopi3,1488829750667
11.724593,5.658967,-79,egopi1,1488829750679
11.724593,5.658967,-80,egopi2,1488829750765
11.724593,5.658967,-77,egopi3,1488829750792
11.724593,5.658967,-88,egopi1,1488829750809
11.724593,5.658967,-66,egopi3,1488829750915
11.724593,5.658967,-84,egopi1,1488829750931
11.724593,5.658967,-87,egopi2,1488829751015
11.724593,5.658967,-81,egopi1,1488829751055
11.724593,5.658967,-87,egopi2,1488829751144
11.724593,5.658967,-67,egopi3,1488829751170
11.724593,5.658967,-78,egopi1,1488829751186
11.724593,5.658967,-65,egopi3,1488829751299
11.724593,5.658967,-79,egopi1,1488829751315
11.724593,5.658967,-87,egopi2,1488829751397
11.724593,5.658967,-72,egopi3,1488829751425
11.724593,5.658967,-82,egopi1,1488829751439
11.724593,5.658967,-92,egopi2,1488829751524
11.724593,5.658967,-68,egopi3,1488829751554
11.724593,5.658967,-84,egopi1,1488829751569
11.724593,5.658967,-82,egopi2,1488829751652
11.724593,5.658967,-61,egopi3,1488829751677
11.724593,5.658967,-79,egopi1,1488829751692
11.724593,5.658967,-81,egopi2,1488829751778
11.724593,5.658967,-66,egopi3,1488829751805
11.724593,5.658967,-84,egopi1,1488829751818
11.724593,5.658967,-95,null,1488829751851
11.724593,5.658967,-82,egopi2,1488829751901
11.724593,5.658967,-71,egopi3,1488829751929
11.724593,5.658967,-75,egopi1,1488829751946
11.724593,5.658967,-83,egopi2,1488829752027
11.724593,5.658967,-74,egopi3,1488829752060
11.724593,5.658967,-82,egopi1,1488829752078
11.724593,5.658967,-82,egopi2,1488829752153
11.724593,5.658967,-74,egopi3,1488829752185
11.724593,5.658967,-76,egopi1,1488829752204
11.724593,5.658967,-87,egopi2,1488829752278
11.724593,5.658967,-88,egopi2,1488829752402
11.724593,5.658967,-65,egopi3,1488829752438
11.724593,5.658967,-92,egopi1,1488829752451
11.724593,5.658967,-87,egopi2,1488829752529
11.724593,5.658967,-76,egopi3,1488829752567
11.724593,5.658967,-84,egopi1,1488829752577
11.724593,5.658967,-88,egopi2,1488829752654
11.724593,5.658967,-72,egopi3,1488829752695
11.724593,5.658967,-83,egopi2,1488829752779
11.724593,5.658967,-79,egopi3,1488829752820
11.724593,5.658967,-88,egopi2,1488829752907
11.724593,5.658967,-68,egopi3,1488829752947
11.724593,5.658967,-77,egopi1,1488829752961
11.724593,5.658967,-83,egopi2,1488829753032
11.724593,5.658967,-72,egopi3,1488829753079
11.724593,5.658967,-81,egopi1,1488829753081
11.724593,5.658967,-83,egopi2,1488829753156
11.724593,5.658967,-81,egopi3,1488829753205
